"model_id","name","prompt_price","completion_price","context_length","source"
"cognitivecomputations/dolphin-mistral-24b-venice-edition:free","Venice: Uncensored (free)","0","0","32768","openrouter /api/v1/models 2026-07-05"
"cohere/north-mini-code:free","Cohere: North Mini Code (free)","0","0","256000","openrouter /api/v1/models 2026-07-05"
"google/gemma-4-26b-a4b-it:free","Google: Gemma 4 26B A4B  (free)","0","0","262144","openrouter /api/v1/models 2026-07-05"
"google/gemma-4-31b-it:free","Google: Gemma 4 31B (free)","0","0","262144","openrouter /api/v1/models 2026-07-05"
"google/lyria-3-clip-preview","Google: Lyria 3 Clip Preview","0","0","1048576","openrouter /api/v1/models 2026-07-05"
"google/lyria-3-pro-preview","Google: Lyria 3 Pro Preview","0","0","1048576","openrouter /api/v1/models 2026-07-05"
"liquid/lfm-2.5-1.2b-instruct:free","LiquidAI: LFM2.5-1.2B-Instruct (free)","0","0","32768","openrouter /api/v1/models 2026-07-05"
"liquid/lfm-2.5-1.2b-thinking:free","LiquidAI: LFM2.5-1.2B-Thinking (free)","0","0","32768","openrouter /api/v1/models 2026-07-05"
"meta-llama/llama-3.2-3b-instruct:free","Meta: Llama 3.2 3B Instruct (free)","0","0","131072","openrouter /api/v1/models 2026-07-05"
"meta-llama/llama-3.3-70b-instruct:free","Meta: Llama 3.3 70B Instruct (free)","0","0","131072","openrouter /api/v1/models 2026-07-05"
"nousresearch/hermes-3-llama-3.1-405b:free","Nous: Hermes 3 405B Instruct (free)","0","0","131072","openrouter /api/v1/models 2026-07-05"
"nvidia/nemotron-3-nano-30b-a3b:free","NVIDIA: Nemotron 3 Nano 30B A3B (free)","0","0","256000","openrouter /api/v1/models 2026-07-05"
"nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free","NVIDIA: Nemotron 3 Nano Omni (free)","0","0","256000","openrouter /api/v1/models 2026-07-05"
"nvidia/nemotron-3-super-120b-a12b:free","NVIDIA: Nemotron 3 Super (free)","0","0","1000000","openrouter /api/v1/models 2026-07-05"
"nvidia/nemotron-3-ultra-550b-a55b:free","NVIDIA: Nemotron 3 Ultra (free)","0","0","1000000","openrouter /api/v1/models 2026-07-05"
"nvidia/nemotron-3.5-content-safety:free","NVIDIA: Nemotron 3.5 Content Safety (free)","0","0","128000","openrouter /api/v1/models 2026-07-05"
"nvidia/nemotron-nano-12b-v2-vl:free","NVIDIA: Nemotron Nano 12B 2 VL (free)","0","0","128000","openrouter /api/v1/models 2026-07-05"
"nvidia/nemotron-nano-9b-v2:free","NVIDIA: Nemotron Nano 9B V2 (free)","0","0","128000","openrouter /api/v1/models 2026-07-05"
"openai/gpt-oss-120b:free","OpenAI: gpt-oss-120b (free)","0","0","131072","openrouter /api/v1/models 2026-07-05"
"openai/gpt-oss-20b:free","OpenAI: gpt-oss-20b (free)","0","0","131072","openrouter /api/v1/models 2026-07-05"
"openrouter/free","Free Models Router","0","0","200000","openrouter /api/v1/models 2026-07-05"
"poolside/laguna-m.1:free","Poolside: Laguna M.1 (free)","0","0","262144","openrouter /api/v1/models 2026-07-05"
"poolside/laguna-xs-2.1:free","Poolside: Laguna XS 2.1 (free)","0","0","262144","openrouter /api/v1/models 2026-07-05"
"poolside/laguna-xs.2:free","Poolside: Laguna XS.2 (free)","0","0","262144","openrouter /api/v1/models 2026-07-05"
"qwen/qwen3-coder:free","Qwen: Qwen3 Coder 480B A35B (free)","0","0","1048576","openrouter /api/v1/models 2026-07-05"
"qwen/qwen3-next-80b-a3b-instruct:free","Qwen: Qwen3 Next 80B A3B Instruct (free)","0","0","262144","openrouter /api/v1/models 2026-07-05"
